"","date","value"
"564",2023-03-30,6.74
"565",2023-03-31,6.65
"566",2023-04-01,6.65
"567",2023-04-02,6.65
"568",2023-04-03,6.58
"569",2023-04-04,6.62
"570",2023-04-05,6.62
"571",2023-04-06,6.51
"572",2023-04-07,6.51
"573",2023-04-08,6.51
"574",2023-04-09,6.51
"575",2023-04-10,6.57
"576",2023-04-11,6.86
"577",2023-04-12,6.92
"578",2023-04-13,6.91
"579",2023-04-14,6.86
"580",2023-04-15,6.86
"581",2023-04-16,6.86
"582",2023-04-17,6.85
"583",2023-04-18,6.76
"584",2023-04-19,6.58
"585",2023-04-20,6.58
"586",2023-04-21,6.58
"587",2023-04-22,6.58
"588",2023-04-23,6.58
"589",2023-04-24,6.57
"590",2023-04-25,6.46
"591",2023-04-26,6.47
"592",2023-04-27,6.47
"593",2023-04-28,6.7
"594",2023-04-29,6.7
"595",2023-04-30,6.7
"596",2023-05-01,6.7
"597",2023-05-02,6.65
"598",2023-05-03,6.65
"599",2023-05-04,6.82
"600",2023-05-05,6.89
"601",2023-05-06,6.89
"602",2023-05-07,6.89
"603",2023-05-08,6.94
"604",2023-05-09,7.01
"605",2023-05-10,7.11
"606",2023-05-11,7.19
"607",2023-05-12,7.19
"608",2023-05-13,7.19
"609",2023-05-14,7.19
"610",2023-05-15,7.19
"611",2023-05-16,7.19
"612",2023-05-17,7.3
"613",2023-05-18,7.43
"614",2023-05-19,7.58
"615",2023-05-20,7.58
"616",2023-05-21,7.58
"617",2023-05-22,7.58
"618",2023-05-23,7.59
"619",2023-05-24,7.43
"620",2023-05-25,7.58
"621",2023-05-26,7.67
"622",2023-05-27,7.67
"623",2023-05-28,7.67
"624",2023-05-29,7.65
"625",2023-05-30,7.57
"626",2023-05-31,7.62
"627",2023-06-01,7.97
"628",2023-06-02,7.87
"629",2023-06-03,7.87
"630",2023-06-04,7.87
"631",2023-06-05,7.84
"632",2023-06-06,8.07
"633",2023-06-07,8.04
"634",2023-06-08,8.04
"635",2023-06-09,8.14
"636",2023-06-10,8.14
"637",2023-06-11,8.14
"638",2023-06-12,8.15
"639",2023-06-13,7.98
"640",2023-06-14,8.11
"641",2023-06-15,8.28
"642",2023-06-16,8.21
"643",2023-06-17,8.21
"644",2023-06-18,8.21
"645",2023-06-19,8.27
"646",2023-06-20,8.35
"647",2023-06-21,8.31
"648",2023-06-22,8.31
"649",2023-06-23,8.28
"650",2023-06-24,8.28
"651",2023-06-25,8.28
"652",2023-06-26,8.12
"653",2023-06-27,7.98
"654",2023-06-28,8.01
"655",2023-06-29,8.11
"656",2023-06-30,8.33
"657",2023-07-01,8.33
"658",2023-07-02,8.33
"659",2023-07-03,8.32
"660",2023-07-04,8.34
"661",2023-07-05,8.45
"662",2023-07-06,8.36
"663",2023-07-07,8.55
"664",2023-07-08,8.55
"665",2023-07-09,8.55
"666",2023-07-10,8.42
"667",2023-07-11,8.33
"668",2023-07-12,8.32
"669",2023-07-13,8.32
"670",2023-07-14,8.13
"671",2023-07-15,8.13
"672",2023-07-16,8.13
"673",2023-07-17,8.34
"674",2023-07-18,8.26
"675",2023-07-19,8.2
"676",2023-07-20,8.16
"677",2023-07-21,8.32
"678",2023-07-22,8.32
"679",2023-07-23,8.32
"680",2023-07-24,8.41
"681",2023-07-25,8.48
"682",2023-07-26,8.45
"683",2023-07-27,8.43
"684",2023-07-28,8.42
"685",2023-07-29,8.42
"686",2023-07-30,8.42
"687",2023-07-31,8.53
"688",2023-08-01,8.51
"689",2023-08-02,8.53
"690",2023-08-03,8.55
"691",2023-08-04,8.6
"692",2023-08-05,8.6
"693",2023-08-06,8.6
"694",2023-08-07,8.49
"695",2023-08-08,8.45
"696",2023-08-09,8.44
"697",2023-08-10,8.45
"698",2023-08-11,8.45
"699",2023-08-12,8.45
"700",2023-08-13,8.45
"701",2023-08-14,8.25
"702",2023-08-15,8.2
"703",2023-08-16,8.2
"704",2023-08-17,8.04
"705",2023-08-18,8.14
"706",2023-08-19,8.14
"707",2023-08-20,8.14
"708",2023-08-21,8.09
"709",2023-08-22,8.27
"710",2023-08-23,8.35
"711",2023-08-24,8.23
"712",2023-08-25,8.08
"713",2023-08-26,8.08
"714",2023-08-27,8.08
"715",2023-08-28,8.04
"716",2023-08-29,8.13
"717",2023-08-30,8.14
"718",2023-08-31,7.92
"719",2023-09-01,8.05
"720",2023-09-02,8.05
"721",2023-09-03,8.05
"722",2023-09-04,8.13
"723",2023-09-05,8.03
"724",2023-09-06,7.9
"725",2023-09-07,7.9
"726",2023-09-08,7.87
"727",2023-09-09,7.87
"728",2023-09-10,7.87
"729",2023-09-11,7.93
"730",2023-09-12,8.09
"731",2023-09-13,8.12
"732",2023-09-14,8.09
"733",2023-09-15,7.98
"734",2023-09-16,7.98
"735",2023-09-17,7.98
"736",2023-09-18,7.98
"737",2023-09-19,7.89
"738",2023-09-20,8
"739",2023-09-21,7.77
"740",2023-09-22,7.69
"741",2023-09-23,7.69
"742",2023-09-24,7.69
"743",2023-09-25,7.6
"744",2023-09-26,7.53
"745",2023-09-27,7.4
"746",2023-09-28,7.56
"747",2023-09-29,7.7
"748",2023-09-30,7.7
"749",2023-10-01,7.7
"750",2023-10-02,7.52
"751",2023-10-03,7.4
"752",2023-10-04,7.42
"753",2023-10-05,7.34
"754",2023-10-06,7.32
"755",2023-10-07,7.32
"756",2023-10-08,7.32
"757",2023-10-09,7.33
"758",2023-10-10,7.58
"759",2023-10-11,7.6
"760",2023-10-12,7.6
"761",2023-10-13,7.38
"762",2023-10-14,7.38
"763",2023-10-15,7.38
"764",2023-10-16,7.42
"765",2023-10-17,7.3
"766",2023-10-18,7.12
"767",2023-10-19,7.16
"768",2023-10-20,7.08
"769",2023-10-21,7.08
"770",2023-10-22,7.08
"771",2023-10-23,7.22
"772",2023-10-24,7.32
"773",2023-10-25,7.15
"774",2023-10-26,7.3
"775",2023-10-27,7.15
"776",2023-10-28,7.15
"777",2023-10-29,7.15
"778",2023-10-30,7.03
"779",2023-10-31,7.13
"780",2023-11-01,7.25
"781",2023-11-02,7.25
"782",2023-11-03,7.52
"783",2023-11-04,7.52
"784",2023-11-05,7.52
"785",2023-11-06,7.44
"786",2023-11-07,7.48
"787",2023-11-08,7.59
"788",2023-11-09,7.63
"789",2023-11-10,7.66
"790",2023-11-11,7.66
"791",2023-11-12,7.66
